person	position	institution	address	year
S.E. Mohamed Kamel Moursy Pacha	Ministre	Ministère de la Justice	sh. Nubar Pacha, 84650, Le Caire	1946
Abdel Latif Ghorbal Bey	Sous-Secrétaire d'Etat	Ministère de la Justice		1946
S.E. Sayed Moustafa Pacha	Président	Cour de Cassation	Midan Bab-el-Khalk, 85198, Le Caire	1946
Guindi Abdel-Malek Bey	Vice-Président	Cour de Cassation		1946
Ahmed Nashaat Bey	Conseiller	Cour de Cassation		1946
Mohamed El-Moufti el-Gazayerli Bey	Conseiller	Cour de Cassation		1946
Ahmed Mohamed Hassan Bey	Conseiller	Cour de Cassation		1946
Ahmed Aly Allouba Bey	Conseiller	Cour de Cassation		1946
Ahmed Fahmy Ibrahim Bey	Conseiller	Cour de Cassation		1946
Mohamed Tewfik Ibrahim Bey	Conseiller	Cour de Cassation		1946
Soliman Hafez Bey	Conseiller	Cour de Cassation		1946
Mohamed Fahmy Sadek Bey	Conseiller	Cour de Cassation		1946
S.E. Mohamed Mahmoud Pacha	Président	Cour d'Appel Nationale	Midan Bab-el-Khalk, 85786, Le Caire	1946
Ahmed Mohamed Hassan Bey	Vice-Président	Cour d'Appel Nationale		1946
S.E. Ahmed Safwat Bey	Président	Cour d'Appel National, Assiout		1946
Ahmed Kamel Mohamed Bey	Vice-Président	Cour d'Appel National, Assiout		1946
Taher Mohamed Bey	Président	Cour d'Appel Nationale, Alexandrie		1946
Ahmed Mokhtar Bekhit Bey	Vice-Président	Cour d'Appel Nationale, Alexandrie		1946
S.E. Mahmoud Mansour Bey	Procureur Général	Parquet Général des Juridictions Nationales	Midan Bab-el-Khalk, 84803, Le Caire	1946
Ibrahim Khalil	Avocat-Général	Parquet Général des Juridictions Nationales		1946
Jasper Yates Brinton	Président	Cour d'Appel Mixte	Place Mohamed Aly, 26289, Alexandrie.	1946
S.E. Scandar Azer Pacha	Vice-Président	Cour d'Appel Mixte		1946
Comte de Andino	Conseiller	Cour d'Appel Mixte		1946
